time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-29 00:00:00+00:00,16,5,3,3
2026-06-30 00:00:00+00:00,5,5,1,1
2026-07-01 00:00:00+00:00,18,9,3,3
2026-07-02 00:00:00+00:00,19,10,1,1
2026-07-03 00:00:00+00:00,15,5,6,3
2026-07-04 00:00:00+00:00,18,9,0,0
2026-07-05 00:00:00+00:00,21,8,0,0
2026-07-06 00:00:00+00:00,12,7,5,4
2026-07-07 00:00:00+00:00,13,7,2,2
2026-07-08 00:00:00+00:00,4,3,1,1
2026-07-09 00:00:00+00:00,2,2,0,0
2026-07-10 00:00:00+00:00,15,6,2,2
2026-07-11 00:00:00+00:00,13,7,13,3
2026-07-12 00:00:00+00:00,2,2,6,2
