time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-26 00:00:00+00:00,1,1,28,4
2026-01-27 00:00:00+00:00,203,84,30,5
2026-01-28 00:00:00+00:00,133,56,62,8
2026-01-29 00:00:00+00:00,11,5,88,5
2026-01-30 00:00:00+00:00,112,42,12,5
2026-01-31 00:00:00+00:00,12,6,1,1
2026-02-01 00:00:00+00:00,0,0,6,1
2026-02-02 00:00:00+00:00,1,1,61,8
2026-02-03 00:00:00+00:00,9,3,3,2
2026-02-04 00:00:00+00:00,2,2,1,1
2026-02-05 00:00:00+00:00,3,3,11,7
2026-02-06 00:00:00+00:00,76,33,24,8
2026-02-07 00:00:00+00:00,3,3,4,2
2026-02-08 00:00:00+00:00,0,0,1,1
2026-02-09 00:00:00+00:00,192,65,64,6
2026-02-10 00:00:00+00:00,11,7,20,4
2026-02-11 00:00:00+00:00,3,3,16,6
2026-02-12 00:00:00+00:00,19,11,19,1
2026-02-13 00:00:00+00:00,5,4,4,4
2026-02-14 00:00:00+00:00,10,6,2,2
2026-02-15 00:00:00+00:00,12,8,0,0
2026-02-16 00:00:00+00:00,15,11,0,0
2026-02-17 00:00:00+00:00,10,5,3,2
2026-02-18 00:00:00+00:00,14,6,2,2
2026-02-19 00:00:00+00:00,30,13,11,3
2026-02-20 00:00:00+00:00,19,8,0,0
2026-02-21 00:00:00+00:00,19,11,4,2
2026-02-22 00:00:00+00:00,21,12,4,4
2026-02-23 00:00:00+00:00,16,12,7,2
2026-02-24 00:00:00+00:00,6,6,2,2
2026-02-25 00:00:00+00:00,22,12,2,2
2026-02-26 00:00:00+00:00,20,11,4,2
2026-02-27 00:00:00+00:00,16,7,0,0
2026-02-28 00:00:00+00:00,6,5,4,4
2026-03-01 00:00:00+00:00,10,5,2,2
2026-03-02 00:00:00+00:00,11,6,2,2
2026-03-03 00:00:00+00:00,13,5,1,1
